5762 : 2.00 cm | S3: 0.00 cm | S4: 0.00 cm

5866 : LDir:  | LCount: 0 | RDir:  | RCount: 0
29144 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

29275 : LDir:  | LCount: 0 | RDir:  | RCount: 0

29329 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

29461 : LDir:  | LCount: 0 | RDir:  | RCount: 0

29508 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

29638 : LDir:  | LCount: 0 | RDir:  | RCount: 0

29689 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

29815 : LDir:  | LCount: 0 | RDir:  | RCount: 0

29870 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

30002 : LDir:  | LCount: 0 | RDir:  | RCount: 0

30081 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

30182 : LDir:  | LCount: 0 | RDir:  | RCount: 0

30256 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

30359 : LDir:  | LCount: 0 | RDir:  | RCount: 0

30415 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

30541 : LDir:  | LCount: 0 | RDir:  | RCount: 0

30620 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

30719 : LDir:  | LCount: 0 | RDir:  | RCount: 0

30799 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

30904 : LDir:  | LCount: 0 | RDir:  | RCount: 0

30983 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

31080 : LDir:  | LCount: 0 | RDir:  | RCount: 0

31161 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

31261 : LDir:  | LCount: 0 | RDir:  | RCount: 0

31343 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

31445 : LDir:  | LCount: 0 | RDir:  | RCount: 0

31525 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

31628 : LDir:  | LCount: 0 | RDir:  | RCount: 0

31711 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

31817 : LDir:  | LCount: 0 | RDir:  | RCount: 0

31868 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

31995 : LDir:  | LCount: 0 | RDir:  | RCount: 0

32046 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

32176 : LDir:  | LCount: 0 | RDir:  | RCount: 0

32225 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

32346 : LDir:  | LCount: 0 | RDir:  | RCount: 0

32423 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

32521 : LDir:  | LCount: 0 | RDir:  | RCount: 0

32589 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

32719 : LDir:  | LCount: 0 | RDir:  | RCount: 0

32769 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

32895 : LDir:  | LCount: 0 | RDir:  | RCount: 0

32975 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

33076 : LDir:  | LCount: 0 | RDir:  | RCount: 0

33132 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

33254 : LDir:  | LCount: 0 | RDir:  | RCount: 0

33333 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

33436 : LDir:  | LCount: 0 | RDir:  | RCount: 0

33495 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

33616 : LDir:  | LCount: 0 | RDir:  | RCount: 0

33698 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

33804 : LDir:  | LCount: 0 | RDir:  | RCount: 0

33861 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

33983 : LDir:  | LCount: 0 | RDir:  | RCount: 0

34037 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

34161 : LDir:  | LCount: 0 | RDir:  | RCount: 0

34242 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

34347 : LDir:  | LCount: 0 | RDir:  | RCount: 0

34403 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

34537 : LDir:  | LCount: 0 | RDir:  | RCount: 0

34598 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

34697 : LDir:  | LCount: 0 | RDir:  | RCount: 0

34786 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

34886 : LDir:  | LCount: 0 | RDir:  | RCount: 0

34969 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

35067 : LDir:  | LCount: 0 | RDir:  | RCount: 0

35126 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

35253 : LDir:  | LCount: 0 | RDir:  | RCount: 0

35306 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

35438 : LDir:  | LCount: 0 | RDir:  | RCount: 0

35487 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

35610 : LDir:  | LCount: 0 | RDir:  | RCount: 0

35689 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

35792 : LDir:  | LCount: 0 | RDir:  | RCount: 0

35850 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

35984 : LDir:  | LCount: 0 | RDir:  | RCount: 0

36031 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

36162 : LDir:  | LCount: 0 | RDir:  | RCount: 0

36214 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

36345 : LDir:  | LCount: 0 | RDir:  | RCount: 0

